CG beads number:   49,  the thread number:   16
thread:  5,  CNa = 1000.000000,  CMg = 0.000000, t0 = 55.000000
thread:  6,  CNa = 1000.000000,  CMg = 0.000000, t0 = 63.000000
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread:  4,  CNa = 1000.000000,  CMg = 0.000000, t0 = 49.000000
thread:  14,  CNa = 1000.000000,  CMg = 0.000000, t0 = 130.000000
thread:  13,  CNa = 1000.000000,  CMg = 0.000000, t0 = 120.000000
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread:  2,  CNa = 1000.000000,  CMg = 0.000000, t0 = 37.000000
thread:  12,  CNa = 1000.000000,  CMg = 0.000000, t0 = 110.000000
thread:  10,  CNa = 1000.000000,  CMg = 0.000000, t0 = 94.000000
thread:  7,  CNa = 1000.000000,  CMg = 0.000000, t0 = 71.000000
thread:  11,  CNa = 1000.000000,  CMg = 0.000000, t0 = 102.000000
thread:  1,  CNa = 1000.000000,  CMg = 0.000000, t0 = 31.000000
thread:  9,  CNa = 1000.000000,  CMg = 0.000000, t0 = 86.000000
thread:  8,  CNa = 1000.000000,  CMg = 0.000000, t0 = 78.000000
thread:  3,  CNa = 1000.000000,  CMg = 0.000000, t0 = 43.000000
thread: 13,  step:  1000,     T:120.0,    Energy: 44.720646 kcal/mol
thread: 1,  step:  1000,     T: 31.0,    Energy: 50.753662 kcal/mol
thread: 3,  step:  1000,     T: 43.0,    Energy: 61.980499 kcal/mol
thread: 0,  step:  1000,     T: 25.0,    Energy: 39.452560 kcal/mol
thread: 6,  step:  1000,     T: 63.0,    Energy: 65.487106 kcal/mol
thread: 4,  step:  1000,     T: 49.0,    Energy: 61.322048 kcal/mol
thread: 11,  step:  1000,     T:102.0,    Energy: 68.669189 kcal/mol
thread: 15,  step:  1000,     T:  0.0,    Energy: 51.471981 kcal/mol
thread: 2,  step:  1000,     T: 37.0,    Energy: 57.694962 kcal/mol
thread: 5,  step:  1000,     T: 55.0,    Energy: 50.665352 kcal/mol
thread: 12,  step:  1000,     T:110.0,    Energy: 71.504799 kcal/mol
thread: 14,  step:  1000,     T:130.0,    Energy: 90.153740 kcal/mol
thread: 9,  step:  1000,     T: 86.0,    Energy: 64.041077 kcal/mol
thread: 10,  step:  1000,     T: 94.0,    Energy: 70.777733 kcal/mol
thread: 3,  step:  2000,     T: 43.0,    Energy: 43.271244 kcal/mol
thread: 7,  step:  1000,     T: 71.0,    Energy: 41.021061 kcal/mol
thread: 13,  step:  2000,     T:120.0,    Energy: 39.932293 kcal/mol
thread: 8,  step:  1000,     T: 78.0,    Energy: 55.493843 kcal/mol
thread: 0,  step:  2000,     T: 25.0,    Energy: 40.774540 kcal/mol
thread: 6,  step:  2000,     T: 63.0,    Energy: 25.041676 kcal/mol
thread: 15,  step:  2000,     T:  0.0,    Energy: 25.301041 kcal/mol
thread: 4,  step:  2000,     T: 49.0,    Energy: 66.721306 kcal/mol
thread: 12,  step:  2000,     T:110.0,    Energy: 64.438988 kcal/mol
thread: 1,  step:  2000,     T: 31.0,    Energy: 46.524170 kcal/mol
thread: 3,  step:  3000,     T: 43.0,    Energy: 32.262276 kcal/mol
thread: 2,  step:  2000,     T: 37.0,    Energy: 47.395771 kcal/mol
thread: 10,  step:  2000,     T: 94.0,    Energy: 35.638458 kcal/mol
thread: 14,  step:  2000,     T:130.0,    Energy: 50.453468 kcal/mol
