CG beads number:   40,  the thread number:   16
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread:  5,  CNa = 1000.000000,  CMg = 0.000000, t0 = 55.000000
thread:  9,  CNa = 1000.000000,  CMg = 0.000000, t0 = 86.000000
thread:  8,  CNa = 1000.000000,  CMg = 0.000000, t0 = 78.000000
thread:  6,  CNa = 1000.000000,  CMg = 0.000000, t0 = 63.000000
thread:  7,  CNa = 1000.000000,  CMg = 0.000000, t0 = 71.000000
thread:  4,  CNa = 1000.000000,  CMg = 0.000000, t0 = 49.000000
thread:  3,  CNa = 1000.000000,  CMg = 0.000000, t0 = 43.000000
thread:  2,  CNa = 1000.000000,  CMg = 0.000000, t0 = 37.000000
thread:  1,  CNa = 1000.000000,  CMg = 0.000000, t0 = 31.000000
thread:  10,  CNa = 1000.000000,  CMg = 0.000000, t0 = 94.000000
thread:  14,  CNa = 1000.000000,  CMg = 0.000000, t0 = 130.000000
thread:  12,  CNa = 1000.000000,  CMg = 0.000000, t0 = 110.000000
thread:  13,  CNa = 1000.000000,  CMg = 0.000000, t0 = 120.000000
thread:  11,  CNa = 1000.000000,  CMg = 0.000000, t0 = 102.000000
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread: 1,  step:  1000,     T: 31.0,    Energy: 159.912949 kcal/mol
thread: 11,  step:  1000,     T:102.0,    Energy: 143.564987 kcal/mol
thread: 9,  step:  1000,     T: 86.0,    Energy: 205.454178 kcal/mol
thread: 5,  step:  1000,     T: 55.0,    Energy: 158.835556 kcal/mol
thread: 10,  step:  1000,     T: 94.0,    Energy: 216.124847 kcal/mol
thread: 7,  step:  1000,     T: 71.0,    Energy: 166.026230 kcal/mol
thread: 8,  step:  1000,     T: 78.0,    Energy: 140.322601 kcal/mol
thread: 6,  step:  1000,     T: 63.0,    Energy: 118.971512 kcal/mol
thread: 0,  step:  1000,     T: 25.0,    Energy: 76.830902 kcal/mol
thread: 15,  step:  1000,     T:  0.0,    Energy: 180.284195 kcal/mol
thread: 12,  step:  1000,     T:110.0,    Energy: 111.664467 kcal/mol
thread: 13,  step:  1000,     T:120.0,    Energy: 213.373764 kcal/mol
thread: 14,  step:  1000,     T:130.0,    Energy: 194.457840 kcal/mol
thread: 2,  step:  1000,     T: 37.0,    Energy: 92.604691 kcal/mol
thread: 4,  step:  1000,     T: 49.0,    Energy: 122.316162 kcal/mol
thread: 3,  step:  1000,     T: 43.0,    Energy: 174.549942 kcal/mol
thread: 11,  step:  2000,     T:102.0,    Energy: 150.894333 kcal/mol
thread: 9,  step:  2000,     T: 86.0,    Energy: 185.891968 kcal/mol
thread: 10,  step:  2000,     T: 94.0,    Energy: 203.912689 kcal/mol
thread: 0,  step:  2000,     T: 25.0,    Energy: 41.328541 kcal/mol
thread: 8,  step:  2000,     T: 78.0,    Energy: 103.384972 kcal/mol
thread: 1,  step:  2000,     T: 31.0,    Energy: 180.261597 kcal/mol
