CG beads number:   37,  the thread number:   16
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread:  6,  CNa = 1000.000000,  CMg = 0.000000, t0 = 63.000000
thread:  3,  CNa = 1000.000000,  CMg = 0.000000, t0 = 43.000000
thread:  1,  CNa = 1000.000000,  CMg = 0.000000, t0 = 31.000000
thread:  5,  CNa = 1000.000000,  CMg = 0.000000, t0 = 55.000000
thread:  4,  CNa = 1000.000000,  CMg = 0.000000, t0 = 49.000000
thread:  9,  CNa = 1000.000000,  CMg = 0.000000, t0 = 86.000000
thread:  13,  CNa = 1000.000000,  CMg = 0.000000, t0 = 120.000000
thread:  12,  CNa = 1000.000000,  CMg = 0.000000, t0 = 110.000000
thread:  2,  CNa = 1000.000000,  CMg = 0.000000, t0 = 37.000000
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread:  8,  CNa = 1000.000000,  CMg = 0.000000, t0 = 78.000000
thread:  7,  CNa = 1000.000000,  CMg = 0.000000, t0 = 71.000000
thread:  10,  CNa = 1000.000000,  CMg = 0.000000, t0 = 94.000000
thread:  14,  CNa = 1000.000000,  CMg = 0.000000, t0 = 130.000000
thread:  11,  CNa = 1000.000000,  CMg = 0.000000, t0 = 102.000000
thread: 7,  step:  1000,     T: 71.0,    Energy: 93.415169 kcal/mol
thread: 15,  step:  1000,     T:  0.0,    Energy: 83.778275 kcal/mol
thread: 4,  step:  1000,     T: 49.0,    Energy: 70.739647 kcal/mol
thread: 3,  step:  1000,     T: 43.0,    Energy: 118.788620 kcal/mol
thread: 8,  step:  1000,     T: 78.0,    Energy: 118.485161 kcal/mol
thread: 1,  step:  1000,     T: 31.0,    Energy: 66.630005 kcal/mol
thread: 0,  step:  1000,     T: 25.0,    Energy: 56.910843 kcal/mol
thread: 5,  step:  1000,     T: 55.0,    Energy: 49.949093 kcal/mol
thread: 11,  step:  1000,     T:102.0,    Energy: 139.882416 kcal/mol
thread: 9,  step:  1000,     T: 86.0,    Energy: 54.784557 kcal/mol
thread: 12,  step:  1000,     T:110.0,    Energy: 128.233658 kcal/mol
thread: 13,  step:  1000,     T:120.0,    Energy: 101.935791 kcal/mol
thread: 10,  step:  1000,     T: 94.0,    Energy: 207.799133 kcal/mol
thread: 14,  step:  1000,     T:130.0,    Energy: 68.656700 kcal/mol
thread: 6,  step:  1000,     T: 63.0,    Energy: 148.117813 kcal/mol
thread: 2,  step:  1000,     T: 37.0,    Energy: 106.593597 kcal/mol
thread: 7,  step:  2000,     T: 71.0,    Energy: 98.206390 kcal/mol
thread: 3,  step:  2000,     T: 43.0,    Energy: 97.424286 kcal/mol
thread: 8,  step:  2000,     T: 78.0,    Energy: 96.085693 kcal/mol
thread: 4,  step:  2000,     T: 49.0,    Energy: 67.232491 kcal/mol
thread: 9,  step:  2000,     T: 86.0,    Energy: 59.343601 kcal/mol
thread: 6,  step:  2000,     T: 63.0,    Energy: 105.272736 kcal/mol
thread: 14,  step:  2000,     T:130.0,    Energy: 51.755783 kcal/mol
thread: 5,  step:  2000,     T: 55.0,    Energy: 44.996765 kcal/mol
thread: 15,  step:  2000,     T:  0.0,    Energy: 74.331642 kcal/mol
thread: 0,  step:  2000,     T: 25.0,    Energy: 47.271137 kcal/mol
thread: 11,  step:  2000,     T:102.0,    Energy: 117.150864 kcal/mol
thread: 12,  step:  2000,     T:110.0,    Energy: 150.039001 kcal/mol
thread: 1,  step:  2000,     T: 31.0,    Energy: 37.924400 kcal/mol
thread: 10,  step:  2000,     T: 94.0,    Energy: 164.332199 kcal/mol
thread: 13,  step:  2000,     T:120.0,    Energy: 87.995651 kcal/mol
thread: 2,  step:  2000,     T: 37.0,    Energy: 85.956261 kcal/mol
thread: 3,  step:  3000,     T: 43.0,    Energy: 106.789993 kcal/mol
thread: 8,  step:  3000,     T: 78.0,    Energy: 136.246902 kcal/mol
thread: 4,  step:  3000,     T: 49.0,    Energy: 57.696777 kcal/mol
thread: 7,  step:  3000,     T: 71.0,    Energy: 86.112572 kcal/mol
thread: 6,  step:  3000,     T: 63.0,    Energy: 103.552452 kcal/mol
thread: 9,  step:  3000,     T: 86.0,    Energy: 56.468815 kcal/mol
thread: 5,  step:  3000,     T: 55.0,    Energy: 51.853027 kcal/mol
thread: 1,  step:  3000,     T: 31.0,    Energy: 32.008171 kcal/mol
thread: 11,  step:  3000,     T:102.0,    Energy: 120.328949 kcal/mol
thread: 15,  step:  3000,     T:  0.0,    Energy: 51.924194 kcal/mol
thread: 0,  step:  3000,     T: 25.0,    Energy: 39.208961 kcal/mol
thread: 2,  step:  3000,     T: 37.0,    Energy: 88.430763 kcal/mol
thread: 14,  step:  3000,     T:130.0,    Energy: 104.608673 kcal/mol
thread: 3,  step:  4000,     T: 43.0,    Energy: 88.425102 kcal/mol
thread: 8,  step:  4000,     T: 78.0,    Energy: 150.008698 kcal/mol
thread: 12,  step:  3000,     T:110.0,    Energy: 130.654404 kcal/mol
thread: 13,  step:  3000,     T:120.0,    Energy: 124.978668 kcal/mol
thread: 4,  step:  4000,     T: 49.0,    Energy: 51.492035 kcal/mol
thread: 10,  step:  3000,     T: 94.0,    Energy: 157.457809 kcal/mol
thread: 7,  step:  4000,     T: 71.0,    Energy: 65.371620 kcal/mol
thread: 6,  step:  4000,     T: 63.0,    Energy: 82.045204 kcal/mol
thread: 9,  step:  4000,     T: 86.0,    Energy: 49.967396 kcal/mol
thread: 15,  step:  4000,     T:  0.0,    Energy: 42.250103 kcal/mol
thread: 3,  step:  5000,     T: 43.0,    Energy: 102.733574 kcal/mol
thread: 5,  step:  4000,     T: 55.0,    Energy: 38.792732 kcal/mol
thread: 2,  step:  4000,     T: 37.0,    Energy: 84.372070 kcal/mol
thread: 1,  step:  4000,     T: 31.0,    Energy: 37.187950 kcal/mol
thread: 8,  step:  5000,     T: 78.0,    Energy: 143.014313 kcal/mol
thread: 4,  step:  5000,     T: 49.0,    Energy: 53.002331 kcal/mol
thread: 11,  step:  4000,     T:102.0,    Energy: 116.508965 kcal/mol
thread: 6,  step:  5000,     T: 63.0,    Energy: 73.526810 kcal/mol
thread: 0,  step:  4000,     T: 25.0,    Energy: 25.766678 kcal/mol
thread: 7,  step:  5000,     T: 71.0,    Energy: 66.350548 kcal/mol
thread: 14,  step:  4000,     T:130.0,    Energy: 78.646759 kcal/mol
thread: 13,  step:  4000,     T:120.0,    Energy: 80.700424 kcal/mol
thread: 12,  step:  4000,     T:110.0,    Energy: 147.775574 kcal/mol
thread: 9,  step:  5000,     T: 86.0,    Energy: 46.189995 kcal/mol
thread: 10,  step:  4000,     T: 94.0,    Energy: 120.013542 kcal/mol
thread: 15,  step:  5000,     T:  0.0,    Energy: 50.782448 kcal/mol
thread: 3,  step:  6000,     T: 43.0,    Energy: 79.167892 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 72.097885 kcal/mol
thread: 8,  step:  6000,     T: 78.0,    Energy: 138.333435 kcal/mol
thread: 4,  step:  6000,     T: 49.0,    Energy: 58.563400 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 66.332062 kcal/mol
thread: 0,  step:  5000,     T: 25.0,    Energy: 37.758148 kcal/mol
thread: 1,  step:  5000,     T: 31.0,    Energy: 31.652912 kcal/mol
thread: 5,  step:  5000,     T: 55.0,    Energy: 36.173965 kcal/mol
thread: 11,  step:  5000,     T:102.0,    Energy: 88.816940 kcal/mol
thread: 14,  step:  5000,     T:130.0,    Energy: 74.943161 kcal/mol
thread: 15,  step:  6000,     T:  0.0,    Energy: 41.530224 kcal/mol
thread: 7,  step:  6000,     T: 71.0,    Energy: 73.088730 kcal/mol
thread: 10,  step:  5000,     T: 94.0,    Energy: 133.922241 kcal/mol
thread: 13,  step:  5000,     T:120.0,    Energy: 70.654915 kcal/mol
thread: 9,  step:  6000,     T: 86.0,    Energy: 37.228577 kcal/mol
thread: 8,  step:  7000,     T: 78.0,    Energy: 135.321640 kcal/mol
thread: 12,  step:  5000,     T:110.0,    Energy: 130.174072 kcal/mol
thread: 6,  step:  7000,     T: 63.0,    Energy: 63.323215 kcal/mol
thread: 3,  step:  7000,     T: 43.0,    Energy: 71.983063 kcal/mol
thread: 0,  step:  6000,     T: 25.0,    Energy: 35.253624 kcal/mol
thread: 1,  step:  6000,     T: 31.0,    Energy: 33.945347 kcal/mol
thread: 2,  step:  6000,     T: 37.0,    Energy: 76.751740 kcal/mol
thread: 4,  step:  7000,     T: 49.0,    Energy: 59.018295 kcal/mol
thread: 11,  step:  6000,     T:102.0,    Energy: 104.586777 kcal/mol
thread: 5,  step:  6000,     T: 55.0,    Energy: 38.867294 kcal/mol
thread: 15,  step:  7000,     T:  0.0,    Energy: 34.412037 kcal/mol
thread: 10,  step:  6000,     T: 94.0,    Energy: 114.412659 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 64.974327 kcal/mol
