CG beads number:   49,  the thread number:   16
thread:  1,  CNa = 0.000000,  CMg = 0.000000, t0 = 31.000000
thread:  14,  CNa = 0.000000,  CMg = 0.000000, t0 = 130.000000
thread:  15,  CNa = 0.000000,  CMg = 0.000000, t0 = 0.000000
thread:  3,  CNa = 0.000000,  CMg = 0.000000, t0 = 43.000000
thread:  9,  CNa = 0.000000,  CMg = 0.000000, t0 = 86.000000
thread:  11,  CNa = 0.000000,  CMg = 0.000000, t0 = 102.000000
thread:  4,  CNa = 0.000000,  CMg = 0.000000, t0 = 49.000000
thread:  0,  CNa = 0.000000,  CMg = 0.000000, t0 = 25.000000
thread:  6,  CNa = 0.000000,  CMg = 0.000000, t0 = 63.000000
thread:  13,  CNa = 0.000000,  CMg = 0.000000, t0 = 120.000000
thread:  7,  CNa = 0.000000,  CMg = 0.000000, t0 = 71.000000
thread:  12,  CNa = 0.000000,  CMg = 0.000000, t0 = 110.000000
thread:  8,  CNa = 0.000000,  CMg = 0.000000, t0 = 78.000000
thread:  5,  CNa = 0.000000,  CMg = 0.000000, t0 = 55.000000
thread:  2,  CNa = 0.000000,  CMg = 0.000000, t0 = 37.000000
thread:  10,  CNa = 0.000000,  CMg = 0.000000, t0 = 94.000000
thread: 1,  step:  1000,     T: 31.0,    Energy: 54.110950 kcal/mol
thread: 7,  step:  1000,     T: 71.0,    Energy: 41.087933 kcal/mol
thread: 15,  step:  1000,     T:  0.0,    Energy: 48.426888 kcal/mol
thread: 0,  step:  1000,     T: 25.0,    Energy: 56.957703 kcal/mol
thread: 2,  step:  1000,     T: 37.0,    Energy: 58.030895 kcal/mol
thread: 14,  step:  1000,     T:130.0,    Energy: 46.509148 kcal/mol
thread: 4,  step:  1000,     T: 49.0,    Energy: 47.387791 kcal/mol
thread: 9,  step:  1000,     T: 86.0,    Energy: 58.411263 kcal/mol
thread: 13,  step:  1000,     T:120.0,    Energy: 62.680443 kcal/mol
thread: 5,  step:  1000,     T: 55.0,    Energy: 53.023499 kcal/mol
thread: 8,  step:  1000,     T: 78.0,    Energy: 43.889931 kcal/mol
thread: 11,  step:  1000,     T:102.0,    Energy: 72.473099 kcal/mol
thread: 10,  step:  1000,     T: 94.0,    Energy: 64.770699 kcal/mol
thread: 3,  step:  1000,     T: 43.0,    Energy: 55.853500 kcal/mol
thread: 12,  step:  1000,     T:110.0,    Energy: 47.581673 kcal/mol
thread: 6,  step:  1000,     T: 63.0,    Energy: 59.432404 kcal/mol
thread: 1,  step:  2000,     T: 31.0,    Energy: 31.633411 kcal/mol
thread: 15,  step:  2000,     T:  0.0,    Energy: 45.227867 kcal/mol
