CG beads number:   37,  the thread number:   16
thread:  5,  CNa = 0.000000,  CMg = 0.000000, t0 = 55.000000
thread:  12,  CNa = 0.000000,  CMg = 0.000000, t0 = 110.000000
thread:  2,  CNa = 0.000000,  CMg = 0.000000, t0 = 37.000000
thread:  0,  CNa = 0.000000,  CMg = 0.000000, t0 = 25.000000
thread:  9,  CNa = 0.000000,  CMg = 0.000000, t0 = 86.000000
thread:  13,  CNa = 0.000000,  CMg = 0.000000, t0 = 120.000000
thread:  11,  CNa = 0.000000,  CMg = 0.000000, t0 = 102.000000
thread:  1,  CNa = 0.000000,  CMg = 0.000000, t0 = 31.000000
thread:  7,  CNa = 0.000000,  CMg = 0.000000, t0 = 71.000000
thread:  4,  CNa = 0.000000,  CMg = 0.000000, t0 = 49.000000
thread:  6,  CNa = 0.000000,  CMg = 0.000000, t0 = 63.000000
thread:  8,  CNa = 0.000000,  CMg = 0.000000, t0 = 78.000000
thread:  3,  CNa = 0.000000,  CMg = 0.000000, t0 = 43.000000
thread:  10,  CNa = 0.000000,  CMg = 0.000000, t0 = 94.000000
thread:  15,  CNa = 0.000000,  CMg = 0.000000, t0 = 0.000000
thread:  14,  CNa = 0.000000,  CMg = 0.000000, t0 = 130.000000
thread: 0,  step:  1000,     T: 25.0,    Energy: 60.474548 kcal/mol
thread: 1,  step:  1000,     T: 31.0,    Energy: 47.311855 kcal/mol
thread: 5,  step:  1000,     T: 55.0,    Energy: 69.214165 kcal/mol
thread: 6,  step:  1000,     T: 63.0,    Energy: 74.042747 kcal/mol
thread: 15,  step:  1000,     T:  0.0,    Energy: 78.012543 kcal/mol
thread: 4,  step:  1000,     T: 49.0,    Energy: 69.634132 kcal/mol
thread: 3,  step:  1000,     T: 43.0,    Energy: 71.527893 kcal/mol
thread: 10,  step:  1000,     T: 94.0,    Energy: 67.183144 kcal/mol
thread: 7,  step:  1000,     T: 71.0,    Energy: 57.359749 kcal/mol
thread: 13,  step:  1000,     T:120.0,    Energy: 49.703590 kcal/mol
thread: 9,  step:  1000,     T: 86.0,    Energy: 58.100693 kcal/mol
thread: 14,  step:  1000,     T:130.0,    Energy: 58.564674 kcal/mol
thread: 8,  step:  1000,     T: 78.0,    Energy: 74.373291 kcal/mol
thread: 2,  step:  1000,     T: 37.0,    Energy: 58.643700 kcal/mol
thread: 11,  step:  1000,     T:102.0,    Energy: 44.338173 kcal/mol
thread: 12,  step:  1000,     T:110.0,    Energy: 80.017914 kcal/mol
thread: 0,  step:  2000,     T: 25.0,    Energy: 50.464989 kcal/mol
thread: 1,  step:  2000,     T: 31.0,    Energy: 52.579609 kcal/mol
thread: 6,  step:  2000,     T: 63.0,    Energy: 63.954128 kcal/mol
thread: 10,  step:  2000,     T: 94.0,    Energy: 61.824165 kcal/mol
thread: 4,  step:  2000,     T: 49.0,    Energy: 68.859924 kcal/mol
thread: 5,  step:  2000,     T: 55.0,    Energy: 57.679691 kcal/mol
thread: 9,  step:  2000,     T: 86.0,    Energy: 52.160107 kcal/mol
thread: 15,  step:  2000,     T:  0.0,    Energy: 63.285088 kcal/mol
thread: 7,  step:  2000,     T: 71.0,    Energy: 57.056019 kcal/mol
thread: 12,  step:  2000,     T:110.0,    Energy: 62.508518 kcal/mol
thread: 8,  step:  2000,     T: 78.0,    Energy: 53.331741 kcal/mol
thread: 14,  step:  2000,     T:130.0,    Energy: 47.288399 kcal/mol
thread: 13,  step:  2000,     T:120.0,    Energy: 40.561321 kcal/mol
thread: 3,  step:  2000,     T: 43.0,    Energy: 47.319744 kcal/mol
thread: 2,  step:  2000,     T: 37.0,    Energy: 49.834457 kcal/mol
thread: 11,  step:  2000,     T:102.0,    Energy: 56.274513 kcal/mol
thread: 0,  step:  3000,     T: 25.0,    Energy: 46.575500 kcal/mol
thread: 1,  step:  3000,     T: 31.0,    Energy: 37.295410 kcal/mol
thread: 6,  step:  3000,     T: 63.0,    Energy: 64.346298 kcal/mol
thread: 10,  step:  3000,     T: 94.0,    Energy: 56.502899 kcal/mol
thread: 4,  step:  3000,     T: 49.0,    Energy: 67.800133 kcal/mol
thread: 12,  step:  3000,     T:110.0,    Energy: 40.874050 kcal/mol
thread: 5,  step:  3000,     T: 55.0,    Energy: 60.936729 kcal/mol
thread: 9,  step:  3000,     T: 86.0,    Energy: 47.214966 kcal/mol
thread: 8,  step:  3000,     T: 78.0,    Energy: 57.981861 kcal/mol
thread: 7,  step:  3000,     T: 71.0,    Energy: 53.529758 kcal/mol
thread: 15,  step:  3000,     T:  0.0,    Energy: 65.485847 kcal/mol
thread: 3,  step:  3000,     T: 43.0,    Energy: 43.903950 kcal/mol
thread: 11,  step:  3000,     T:102.0,    Energy: 44.073242 kcal/mol
